"phase","item","requirement","status","verification","evidence","notes"
"Phase0","P0-1","Fix candidate seeding source metadata mapping","fixed","code+sql","src/db/seed.js:1097, src/db/seed.js:1127, .specfactory_tmp/_test_mouse/spec.sqlite SQL candidates_missing_source_host=0","Source lineage no longer collapses to unknown host."
"Phase0","P0-2","Source-link synthetic component-review candidates","fixed","code+test","src/api/guiServer.js:4191, src/api/guiServer.js:4220, src/api/guiServer.js:7299, src/api/guiServer.js:7507, test/reviewLaneContractApi.test.js","Synthetic review candidates now write source_registry/source_assertions."
"Phase0","P0-3","Test-mode SpecDb resync uses compiled rules","fixed","code","src/api/guiServer.js:8856, src/api/guiServer.js:8859","Uses loadFieldRules(...) instead of raw field_rules.json."
"Phase0","P0-4","Field-meta detection supports both contract shapes","fixed","code","src/db/seed.js:124, src/db/seed.js:126","Supports rules.fields and top-level fields."
"Phase0","P0-5","Bind item slot selected candidate IDs during seed","fixed","code+sql","src/db/seed.js:628, src/db/seed.js:637, src/db/seed.js:647","Slot values now map to best matching candidate IDs when possible."
"Phase0","P0-6","Enforce ID-only write context across mutation endpoints","partial","code+test","src/api/guiServer.js:6839, src/api/guiServer.js:7508, src/api/guiServer.js:3396, src/api/guiServer.js:3472","Write paths require IDs by action type; resolver fallback branches still exist for non-required flows."
"Phase0","P0-7","Component identity IDs in payloads","fixed","code","src/review/componentReviewData.js:1131, src/review/componentReviewData.js:1868","SpecDb and legacy payload paths both emit component_identity_id."
"Phase0","Metrics","Baseline-to-current integrity deltas","fixed","sql","implementation/data-managament/fixit/phase-0-sql-snapshot-_test_mouse.json, .specfactory_tmp/_test_mouse/spec.sqlite","missing_source_assertions_for_candidates 2268->0; source_registry 22->130; item_component_links 0->80; source_registry_unknown_source_host 22->0."
"Phase0/P1","P1-1","Add slot FK columns + indexes to key_review_state and backfill","fixed","code+sql","src/db/specDb.js:429, src/db/specDb.js:903, src/db/specDb.js:1636","Grid/component/enum slot IDs now persisted and backfilled."
"Phase0/P1","P1-2","Add component_identity_id FK to component_values","outstanding","code+sql","src/db/specDb.js:91, .specfactory_tmp/_test_mouse/spec.sqlite PRAGMA table_info(component_values)","Column/FK is not present in current schema."
"Phase0/P1","P1-3","Harden enum ownership (require list_values.list_id)","partial","code+sql","src/db/specDb.js:144, src/db/specDb.js:882, src/db/specDb.js:2230, .specfactory_tmp/_test_mouse/spec.sqlite PRAGMA table_info(list_values)","Backfill and rename/delete integrity are in place; list_id remains nullable at schema level."
"Phase0/P2","P2-1","Remove residual resolver fallback branches","outstanding","code","src/api/guiServer.js:3396, src/api/guiServer.js:3472, src/api/guiServer.js:3555","Fallback lookup by product/field or identifiers remains in resolver helpers."
"Phase0/P2","P2-2","Normalize candidate ID contract for source-level actions","implemented","code+test","src/api/guiServer.js:6573, src/api/guiServer.js:6904, src/api/guiServer.js:7586, test/reviewLaneContractApi.test.js","Candidate context/value mismatches are rejected."
"Phase0/P2","P2-3","Unknown values stay non-actionable","implemented","code+test","src/api/guiServer.js:6605, src/api/guiServer.js:6708, src/api/guiServer.js:6882, src/api/guiServer.js:7559, src/api/guiServer.js:7714, test/reviewLaneContractApi.test.js","Accept/confirm blocked for unknown/empty values across grid/component/enum lanes."
"Phase1","R1","Pending AI indicators only for actionable candidates","implemented","code+test","src/review/componentReviewData.js:365, src/review/componentReviewData.js:1153, test/reviewLaneContractGui.test.js","Actionable excludes synthetic/unknown rows."
"Phase1","R2","Synthetic selected candidates are display-only","implemented","code+test","src/review/componentReviewData.js:163, src/review/componentReviewData.js:367, test/componentReviewDataLaneState.test.js","Synthetic selected rows are non-actionable in pending calculations."
"Phase1","R3","Component and enum pending target IDs derive from actionable candidates","implemented","code+test","src/api/guiServer.js:4126, src/api/guiServer.js:4148, src/api/guiServer.js:4170, test/reviewLaneContractApi.test.js","Pending target collection filters non-meaningful candidate values."
"Phase1","R4","GET review routes are read-only","implemented","test","test/reviewLaneContractApi.test.js (component review GET does not mutate synthetic candidates on read)","No write mutation observed on GET path."
"Phase1","R5","Component rows require linkage/actionable pending/stable non-pipeline data","implemented","code","src/review/componentReviewData.js:1151, src/review/componentReviewData.js:1171","Visibility filter suppresses non-actionable/no-link noise."
"Phase1","R6","Pipeline enum pending rows require linkage to stay visible","outstanding","code","src/review/componentReviewData.js:1965, src/review/componentReviewData.js:2283","No explicit linkage gate found for pending pipeline enum rows."
"Phase2","B1","Accept Item mutates only target grid slot","implemented","test","test/reviewLaneContractApi.test.js, test/reviewLaneContractGui.test.js","Cross-slot mutation blocked in lane-contract matrix."
"Phase2","B2","Confirm Item mutates only target grid slot","implemented","test","test/reviewLaneContractApi.test.js, test/reviewLaneContractGui.test.js","Primary confirm remains slot-scoped."
"Phase2","B3","Accept Shared mutates only authoritative shared context","implemented","code+test","src/api/guiServer.js:7019, src/api/guiServer.js:7705, test/reviewLaneContractApi.test.js","Propagation constrained by target_kind + context keys."
"Phase2","B4","Confirm Shared does not alias accept","implemented","code+test","src/review/keyReviewState.js:89, src/review/keyReviewState.js:97, test/keyReviewState.test.js","Accept and confirm remain distinct transitions."
"Phase2","Guardrails","Grid lane endpoint rejects non-grid states","implemented","code+test","src/api/guiServer.js:6553, src/api/guiServer.js:6655, test/reviewLaneContractApi.test.js","Prevents cross-surface mutation via raw key_review_state ID."
"Phase3","S1","Slot shape normalization utility","implemented","code","src/utils/slotValueShape.js:149, src/utils/slotValueShape.js:157","Scalar/list normalization and deterministic list serialization are present."
"Phase3","S2","Runtime engine rejects malformed scalar array/object payloads","implemented","code+test","src/engine/fieldRulesEngine.js:752, src/engine/fieldRulesEngine.js:1124, test/fieldRulesEngine.test.js","Returns shape_mismatch for invalid scalar shapes."
"Phase3","S3","Seed normalizes candidate and item slot values before SQL persistence","implemented","code","src/db/seed.js:483, src/db/seed.js:612","Unknown/malformed values are filtered or demoted."
"Phase3","S4","Review payload selection order is deterministic","implemented","code+test","src/review/reviewGridData.js:547, src/review/reviewGridData.js:551, test/reviewGridData.test.js","Order is override -> accepted candidate -> top candidate -> unk."
"Phase4","T1","Deterministic seed and reproducible run ID","outstanding","code","src/testing/testRunner.js:116, src/utils/common.js:8","buildRunId uses randomBytes suffix, so run IDs are not deterministic."
"Phase4","T2","Post-run validator for off-target mutation + badge/cell-drawer consistency reports","partial","code+test","src/api/guiServer.js:8873, test/reviewLaneContractApi.test.js, test/reviewLaneContractGui.test.js","Validation endpoint exists, but no dedicated mutation-audit/badge-diff report artifacts were found."
"Phase4","T3","UI automation sequence testing across slot types","partial","test","test/reviewLaneContractGui.test.js","Contract-level GUI click simulation exists; no separate browser automation script was identified."
"Phase4","T4","Phase4 output artifacts under data/fixit","outstanding","filesystem","data/fixit (directory absent)","Required artifacts listed in phase doc are not present."
"Phase4","T5","Test Mode summary dashboard for failed invariants","outstanding","code","src/api/guiServer.js:8873","No invariant dashboard/report endpoint beyond generic validate response."
"Edge","E1","Focused fixit regression+edge suite","implemented","tests","npm test -- reviewLaneContractApi/reviewLaneContractGui/componentReviewDataLaneState/testDataProviderSourceIdentity/reviewGridData/fieldRulesEngine/keyReviewState/reviewOverrideWorkflow","59/59 tests passed."
"Edge","E2","Shared-component pipeline product-count attribution (switch)","regression-fail","test","test/reviewEcosystem.test.js:981","COMP-11 failed: pipeline candidate text did not assert 2-product attribution."
